Type    Factor  Iter    Obj     Obj.diff        Max.chg
backfit all     113     182702570.904158        1502.04501459002        0.00137597584619006
backfit all     114     182704028.579883        1457.67572498322        0.00138007417856814
backfit all     115     182705443.172769        1414.59288620949        0.00134917736349739
backfit all     116     182706810.499563        1367.32679390907        0.00130547233614758
backfit all     117     182708128.988748        1318.48918515444        0.00146080039569159
backfit all     118     182709401.346329        1272.35758122802        0.00135697609070428
backfit all     119     182710628.871872        1227.52554222941        0.00117555581283731
backfit all     120     182711812.528657        1183.65678519011        0.00113570530598771
backfit all     121     182712956.019153        1143.49049630761        0.00110911594174988
backfit all     122     182714060.460651        1104.44149792194        0.00116529205441808
backfit all     123     182715124.840422        1064.37977087498        0.0011317236884629
backfit all     124     182716150.888402        1026.04797959328        0.00113965946142057
backfit all     125     182717140.60216 989.713758766651        0.00114878044707237
backfit all     126     182718098.136073        957.533912301064        0.00114710651882219
backfit all     127     182719022.416652        924.280578970909        0.00114946810430615
