Type	Factor	Iter	Obj	Obj.diff	Max.chg
backfit	4	2	182408197.485575	105.748941034079	0.000150524914433736
backfit	5	2	182408350.715173	153.229598373175	-0.000267823665738121
backfit	6	2	182408470.677099	119.961926221848	0.000381683848540378
backfit	7	2	182408566.54833	95.8712305724621	0.000350054192799307
backfit	8	2	182408671.485181	104.936851620674	-0.000398615971026611
backfit	9	2	182408897.107712	225.622530549765	0.000388782292345527
backfit	10	2	182409005.542938	108.43522593379	0.000986528779516271
backfit	11	2	182409091.68273	86.1397920548916	0.000773675941844076
backfit	12	2	182409147.063569	55.3808389306068	0.000520375052779548
backfit	13	2	182409457.675663	310.612093955278	-0.000449736241782479
backfit	14	2	182409600.424421	142.748758584261	0.000879994972748127
backfit	15	2	182409702.72551	102.301089048386	0.000595737858405859
backfit	16	2	182409813.410679	110.685168296099	-0.000890370334972884
backfit	17	2	182409910.772372	97.3616936504841	0.000907049648816882
backfit	18	2	182410110.580825	199.808452814817	-0.00192519702469229
backfit	19	2	182410472.602825	362.021999686956	0.00157086350800481
backfit	20	2	182410548.445156	75.8423308730125	0.00111551349553132
backfit	21	2	182410748.673498	200.228341817856	0.00140124140198758
backfit	22	2	182410814.346175	65.6726769804955	-0.000756400330224061
backfit	23	2	182410885.919788	71.57361343503	0.00119411894248191
backfit	24	2	182410950.796868	64.8770796656609	-0.0011885016697617
backfit	25	2	182411039.538233	88.7413652539253	-0.00206106309471848
backfit	26	2	182411139.572575	100.034341990948	0.00139941113941007
backfit	27	2	182411277.419238	137.846662759781	-0.00154626807128674
backfit	28	2	182411368.124076	90.7048380076885	0.00165382530451019
backfit	29	2	182411589.664761	221.540684998035	0.00159967052311923
backfit	30	2	182411649.213075	59.5483143031597	-0.00124349425892317
backfit	31	2	182411798.856572	149.643496841192	0.00176560962061032
backfit	32	2	182411853.619821	54.7632491886616	-0.00114413523105916
backfit	33	2	182411920.919406	67.2995855212212	0.00120744020629757
backfit	34	2	182411988.278952	67.3595456182957	-0.0013320429432899
backfit	35	2	182412092.933191	104.654239267111	-0.0014952585106717
backfit	36	2	182412245.06786	152.13466912508	-0.00157445373222746
backfit	37	2	182412326.044364	80.9765036702156	0.00179502422968097
backfit	38	2	182412411.18739	85.1430261731148	0.00173024757737951
backfit	39	2	182412468.718076	57.5306856036186	-0.00119217133648665
backfit	40	2	182412529.532962	60.8148862421513	-0.00186071785702996
backfit	41	2	182412572.549538	43.0165758728981	0.00154549288634781
backfit	42	2	182412623.633123	51.0835850834846	0.0013545890515851
backfit	43	2	182412694.772374	71.1392513513565	0.00153772384030948
backfit	44	2	182412857.32154	162.549165427685	-0.00213086184118652
backfit	45	2	182412950.466198	93.1446584165096	-0.00225171347016487
backfit	46	2	182413022.65669	72.190491437912	-0.00271893934308901
backfit	47	2	182413087.984158	65.3274679481983	0.0021061309880154
backfit	48	2	182413154.730555	66.7463974654675	-0.00142509946717456
backfit	49	2	182413265.297885	110.567330121994	0.00148174322203284
backfit	50	2	182413319.345755	54.0478698015213	0.00209512503603737
backfit	1	3	182413380.031497	60.6857420504093	1.77698376344348e-05
backfit	2	3	182413439.193358	59.1618609428406	7.19831227466439e-05
backfit	3	3	182413700.288918	261.095560014248	0.00024349511876335
backfit	4	3	182413792.974882	92.6859637796879	-0.00014836065092702
backfit	5	3	182413932.325202	139.35031992197	-0.000281728812687156
backfit	6	3	182414045.397933	113.072731047869	0.000384855135958772
backfit	7	3	182414131.188356	85.7904227077961	0.00034627245267918
backfit	8	3	182414223.5997	92.4113449156284	-0.000375972618852666
backfit	9	3	182414433.695432	210.09573161602	0.000365724505639556
backfit	10	3	182414535.551025	101.855593323708	0.000897660322583427
