Type	Factor	Iter	Obj	Obj.diff	Max.chg
backfit	25	3	6251801.22046807	38.3320833854377	-0.00388089203001152
backfit	26	3	6252028.52830077	227.307832695544	-0.0119580147430627
backfit	27	3	6252082.23731678	53.7090160176158	0.00602227972667412
backfit	28	3	6252141.52961049	59.2922937097028	-0.00643795385645396
backfit	29	3	6252242.55667043	101.027059935965	0.00653026866980275
backfit	30	3	6252273.79683588	31.2401654459536	-0.00476823245888069
backfit	31	3	6252335.38093945	61.584103571251	-0.00490810348872628
backfit	32	3	6252362.53067474	27.1497352896258	0.00486807978547551
backfit	33	3	6252401.02798884	38.4973141076043	-0.00509353039882779
backfit	34	3	6252444.23152323	43.2035343889147	-0.0063476825612836
backfit	35	3	6252481.76041459	37.5288913594559	-0.00503676382167023
backfit	36	3	6252502.8043521	21.0439375052229	0.00526823198323547
backfit	37	3	6252538.64210295	35.837750852108	-0.0078727924102795
backfit	38	3	6252572.32442461	33.6823216564953	-0.00528282051597156
backfit	39	3	6252593.34352593	21.0191013216972	-0.00346375899771808
backfit	40	3	6252681.45995847	88.1164325447753	0.00515244329906686
backfit	41	3	6252716.79350885	35.3335503768176	-0.00559696036580661
backfit	42	3	6252731.67850124	14.884992390871	0.00377357001819181
backfit	43	3	6252755.78375147	24.1052502309904	-0.00791106342175136
backfit	44	3	6252778.10241384	22.3186623677611	0.0058713263438407
backfit	45	3	6252801.35024213	23.2478282917291	-0.00570144883331937
backfit	46	3	6252817.60868429	16.2584421560168	0.00474275734427709
backfit	47	3	6252850.37293257	32.7642482873052	-0.00627970834820653
backfit	48	3	6252872.8079403	22.4350077304989	0.0100929150150447
backfit	49	3	6252893.84012134	21.0321810385212	0.00638065692790502
backfit	50	3	6252916.43489113	22.5947697898373	-0.00492998455194915
backfit	1	4	6253022.02003129	105.585140152834	6.38537253121151e-05
backfit	2	4	6253085.51688558	63.4968542922288	-0.000274271028028267
backfit	3	4	6253366.6291011	281.112215521745	-0.0010044670766774
backfit	4	4	6253437.44133705	70.8122359514236	0.000584523876976689
backfit	5	4	6253515.62842352	78.1870864648372	0.000857467013407387
backfit	6	4	6253671.29338325	155.664959736168	-0.00160754396795315
backfit	7	4	6253744.07531855	72.7819352988154	-0.00093260284949076
backfit	8	4	6253867.44668499	123.37136644125	-0.00213639164482088
backfit	9	4	6253947.85464456	80.4079595636576	-0.00240470824804295
backfit	10	4	6254026.86904253	79.0143979713321	-0.00253528772754902
backfit	11	4	6254083.58538106	56.7163385357708	0.00219964340357331
backfit	12	4	6254345.41828171	261.832900650799	-0.00285969970104216
backfit	13	4	6254432.11533176	86.6970500424504	-0.00153752460284823
backfit	14	4	6254479.63473384	47.5194020811468	0.00252390243127831
backfit	15	4	6254563.39459058	83.759856746532	0.00335027977566844
backfit	16	4	6254648.0577247	84.663134121336	-0.00374268118202904
backfit	17	4	6254780.14387186	132.08614715375	-0.00339501544887869
backfit	18	4	6254853.81215673	73.6682848762721	0.00435842866404212
backfit	19	4	6254938.77001214	84.9578554090112	-0.00618455843155855
backfit	20	4	6255028.24773178	89.4777196310461	0.00382633549274517
backfit	21	4	6255226.2504914	198.002759621479	-0.00386715417109317
backfit	22	4	6255277.66493374	51.4144423399121	-0.00451521924062882
backfit	23	4	6255306.96506879	29.3001350536942	-0.00312558069645025
backfit	24	4	6255374.4483796	67.4833108140156	0.00449859153210458
backfit	25	4	6255403.13240579	28.6840261816978	0.00426178692353035
backfit	26	4	6255600.51216953	197.379763745703	-0.0106814367682616
backfit	27	4	6255637.02607024	36.5139007065445	0.00510635935706389
